Skip to main content,,,,,,,
An official website of the United States government,,,,,,,
Here's how you know,,,,,,,
View full-text article in PMC,,,,,,,
Infect Immun,,,,,,,
. 2021 Mar 17;89(4):e00597-20. doi: 10.1128/IAI.00597-20,,,,,,,
Copyright and License information,,,,,,,
TABLE 3.,,,,,,,
"pH-responsive genes regulated by the ArsRS systema,d",,,,,,,
,Fold change in the indicated strainsc,,,,,,Description
HP0346,5.79,3.72,5.75,1.52,1.3,1.3,Hypothetical protein
HP0376,6.15,5.73,6.74,1.14,1.21,1.38,Ferrochelatase (hemH)
HP0380*,3.53,5.7,4.44,1.47,1.07,1.07,Glutamate dehydrogenase (gdhA)
HP0383,5.85,9.77,10.03,1.29,1.45,1.37,Hypothetical protein
HP0384,3.48,2.97,2.94,1.26,1.57,1.49,Hypothetical protein
HP0415,2.63,2.53,2.59,1.8,1.48,1.65,Hypothetical integral membrane protein
HP0455,7.48,2.92,3.31,1.18,1.24,1.09,Hypothetical protein
HP0483,5.94,3.36,3.5,0.89,0.93,0.86,Cytosine specific DNA methyltransferase
HP0484,10.2,4.91,6.35,0.99,0.87,0.89,Hypothetical protein
HP0489,10.95,3.49,3.32,2.68,1.95,1.11,Hypothetical protein
HP0519,6.13,4.8,6.59,1.28,1.17,0.94,Hypothetical protein
HP0586,3.15,2.51,2.59,1.39,1.37,1.41,Hypothetical protein
HP0641*,5.47,6.25,7.19,1.08,1.08,0.97,Hypothetical protein
HP0642*,6.01,6.5,9.66,1.11,1.19,1.12,NAD(P)H-flavin oxidoreductase
HP0687,2.51,2.69,3.22,1.31,1.24,1.15,Iron(II) transport protein (feoB)
HP0693*,2.56,3.41,2.54,1.36,0.81,0.87,Hypothetical integral membrane protein
HP0768,6.55,4.91,6.51,2.08,1.36,1.51,Molybdenum cofactor biosynthesis protein A (moaA)
HP0769,3.09,3.75,2.93,1.73,1.58,1.52,Molybdopterin dinucleotide biosynthesis protein A (mobA)
HP0811,3.63,3.09,5.7,0.8,0.67,0.85,Hypothetical protein
HP0844,2.54,2.5,3.38,1.17,1.17,1.24,Thiamine biosynthesis protein (thi)
HP0867,2.75,3.05,3.05,1.08,1.01,0.93,Lipid A disaccharide synthetase (lpxB)
HP0868,2.98,3.56,3.49,1.02,1.03,1.01,Hypothetical protein
HP0869*,3.22,5.21,3.72,1.03,0.9,0.83,Hydrogenase (hypA)
HP0873,3.25,3.36,2.74,0.99,0.82,0.97,Hypothetical protein
HP0874,2.63,2.97,3.38,0.92,0.78,1.05,Hypothetical protein
HP0875*,3.04,4,3.81,0.97,0.81,1.13,Catalase (katA)
HP0890*,2.77,3.85,4.94,1.31,1.35,1.39,Hypothetical protein
HP0922,4.51,4.63,5.24,2.17,2.21,2.33,Toxin-like outer membrane protein (vlpC)
HP0924*,2.53,4.85,3.33,0.94,0.99,0.97,4-Oxalocrotonate tautomerase (dmpI)
HP0948,3.56,4.3,3.3,1.4,1.15,1.38,Hypothetical protein
HP0962,3.82,3.45,2.77,1.7,1.02,1.16,Acyl carrier protein (acpP)
HP0963*,4.4,4.2,4.48,1.2,0.87,0.77,Hypothetical protein
HP1022*,4.57,4.8,4.05,1.5,1.3,1.16,Hypothetical protein
HP1080,9.01,2.94,6.53,0.82,0.96,0.99,Hypothetical integral membrane protein
HP1082,3.29,3.19,2.89,0.65,0.78,0.84,Multidrug resistance protein (msbA)
HP1166*,3.98,7.61,6.5,1.3,1.24,1.23,Glucose-6-phosphate isomerase (pgi)
HP1171,3.3,3.21,3.54,1.08,1.2,1.3,Glutamine ABC transporter (glnQ)
HP1185,2.88,3.37,4.21,1.28,1.14,1.15,Hypothetical integral membrane protein
HP1187*,9.54,16.12,14.42,0.76,0.96,0.75,Hypothetical protein
HP1188*,6.66,8.88,7.26,1.17,1.04,1.01,Hypothetical protein
HP1220,2.99,3.28,3.32,1.11,1.09,1.24,"ABC transporter, ATP-binding protein (yhcG)"
HP1221,3.22,3.56,3.44,1,1.14,1.24,Hypothetical protein
HP1222*,5.32,8.34,10.18,0.98,1.24,1.11,d-Lactate dehydrogenase (dld)
HP1225*,2.84,2.71,3.12,0.94,1.01,0.94,Hypothetical integral membrane protein
HP1238*,3.22,6.08,7.96,0.84,0.95,0.79,Aliphatic amidase (amiF)
HP1282,3.69,3.67,3.2,1.34,1.17,1.29,Anthranilate synthase component I (trpE)
HP1330,5.66,6.04,4.18,1.44,1.39,1.6,Hypothetical integral membrane protein
HP1331*,4.09,3.31,4.93,1.54,1.17,1.38,Hypothetical integral membrane protein
HP1332*,5.06,6.22,7.4,1.44,1.22,1.24,Cochaperone and heat shock protein (dnaJ)
HP1337,2.97,3.21,3.36,1.02,1.06,1,Hypothetical protein
HP1338,3.64,4.8,4.2,1.32,1.07,1.01,Nickel responsive regulator (nikR)
HP1399*,5.16,3.48,2.55,1.16,0.54,1.63,Arginase (rocF)
HP1402*,2.68,3.44,3.17,2.26,2.14,2.07,Type I restriction enzyme R protein (hsdR)
HP1432*,15.85,34.86,22.56,1.67,1.14,0.64,Histidine and glutamine-rich protein (hpn)
HP1466*,3.28,3.39,4.14,1.24,1.23,1.08,Hypothetical integral membrane protein
HP1499*,11.52,11.97,10.58,1.01,1.12,0.78,Hypothetical protein
HP1571,3.45,3.77,3.83,0.86,1.09,1.14,Rare lipoprotein A (rlpA)
HP1572,4.74,4.81,5.13,1.18,1.29,1.2,Regulatory protein (dniR)
Downregulated genesb,,,,,,,
HP0015,0.35,0.23,0.25,0.44,0.42,0.59,Hypothetical protein
HP0016,0.34,0.16,0.13,0.49,0.46,0.69,Hypothetical protein
HP0025,0.2,0.13,0.06,0.7,0.59,0.69,Outer membrane protein (hopD)
HP0029,0.38,0.37,0.37,0.51,0.62,0.6,Dethiobiotin synthetase (bioD)
HP0097,0.28,0.24,0.22,0.74,0.71,0.81,Hypothetical protein
HP0298,0.33,0.32,0.36,0.6,0.67,0.62,Dipeptide ABC transporter (dppA)
HP0375,0.36,0.22,0.2,0.99,1.12,1.11,Hypothetical protein
HP0605,0.35,0.4,0.37,0.78,0.84,0.76,Hypothetical protein
HP1027,0.19,0.3,0.23,0.43,0.43,0.51,Ferric uptake regulation protein (fur)
HP1180*,0.25,0.25,0.26,1.27,0.98,0.81,Pyrimidine nucleoside transport protein (nupC)
HP1212,0.22,0.36,0.36,0.48,0.5,0.44,"ATP synthase F0, subunit c (atpE)"
a,,,,,,,
,,,,,,,
"H. pylori strains were grown at either pH 5.3 or pH 7.0 for 1 h. RNA-seq was performed as described in Materials and Methods. Genes (n = 114) classified in group 1 of the pH transcriptome of H. pylori (Table S4) were examined for pH-responsive expression in H. pylori strains harboring ArsRS mutations (26695 ΔarsS, 26695 arsR-D52E, and 26695 arsR-D52N). Genes considered differentially expressed demonstrated fold change values (pH 5.3 versus pH 7.0) either >2.5 or <0.4, with an FDR (false-discovery rate) value <0.01. The genes listed in the table were differentially expressed at the two pH conditions in strains harboring an intact ArsRS TCS but not in strains containing ArsRS mutations.",,,,,,,
b,,,,,,,
,,,,,,,
Transcript levels of genes designated “upregulated” were higher in H. pylori strains containing an intact ArsRS TCS grown at pH 5.3 than in cultures grown at pH 7.0. “Downregulated” genes were lower in H. pylori strains containing an intact ArsRS TCS grown at pH 5.3 than in cultures grown at pH 7.0.,,,,,,,
c,,,,,,,
,,,,,,,
“Fold” indicates fold change values. The fold change values are a ratio of RNA-seq reads from cultures grown at pH 5.3 compared to RNA-seq reads from cultures grown at pH 7.0.,,,,,,,
d,,,,,,,
,,,,,,,
"Asterisks denote genes that were previously shown to be regulated by the ArsRS TCS in microarray studies (33, 34).",,,,,,,
